client_number,measurement_a,measurement_b,measurement_c,measurement_d,measurement_e,measurement_f,measurement_g
0,8132,1909.35,4.26,0.23,0.08,110.91,133.55
1,25239,1981.84,12.74,0.08,0.01,89.09,113.44
2,16038,2641.87,6.07,0.16,0.09,125.9,136.86
3,10224,2060.29,4.96,0.2,0.08,116.25,139.52
4,13082,1824.97,7.17,0.14,0.02,97.49,119.21
5,5253,1634.7,3.21,0.31,0.06,103.54,128.33
6,13121,2059.79,6.37,0.16,0.06,101.15,125.26
7,11070,1759.36,6.29,0.16,0.06,105.68,125.8
8,6605,1650.47,4,0.25,0.05,97.87,124.44
9,10862,1334.05,8.14,0.12,0.12,136.2,139.6
10,42208,1979.04,21.33,0.05,0.01,73.15,105.86
11,46437,1969.69,23.58,0.04,0.01,65.26,96.68
12,8762,1846.64,4.74,0.21,0.06,112.48,139.63
13,14307,1994.09,7.17,0.14,0.04,100.59,125.38
14,7085,1770.21,4,0.25,0.07,114.47,141.86
15,11643,1981.99,5.87,0.17,0.06,104.35,131.14
16,70682,2531.61,27.92,0.04,0.01,101.63,118.15
17,67372,2056.11,32.77,0.03,0.01,51.92,86.6
18,11034,1958.68,5.63,0.18,0.06,107.6,131.8
19,33805,1919.15,17.61,0.06,0.01,81.46,110.05
